id,uuid,observed_on_string,observed_on,time_observed_at,time_zone,user_id,user_login,user_name,created_at,updated_at,quality_grade,license,url,image_url,sound_url,tag_list,description,num_identification_agreements,num_identification_disagreements,captive_cultivated,oauth_application_id,place_guess,latitude,longitude,positional_accuracy,private_place_guess,private_latitude,private_longitude,public_positional_accuracy,geoprivacy,taxon_geoprivacy,coordinates_obscured,positioning_method,positioning_device,species_guess,scientific_name,common_name,iconic_taxon_name,taxon_id
200123629,cd87af9c-0e6a-47ac-be99-532c12178aaa,2024-02-21 13:49:19+13:00,2024-02-21,2024-02-21 00:49:19 UTC,Wellington,6519287,tomasblokker,,2024-02-22 21:48:02 UTC,2024-02-23 21:07:36 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/200123629,https://inaturalist-open-data.s3.amazonaws.com/photos/353020415/medium.jpg,,"","",2,0,false,3,"University of Auckland - City Campus, Auckland, Auckland, NZ",-36.8491851249,174.7707812332,77,,,,77,,open,false,,,Western European Blackbird,Turdus merula merula,,Aves,341569
200340290,d7e44195-3347-4f20-90f0-c7373b41b749,2024/01/15 2:10 PM,2024-01-15,2024-01-15 01:10:00 UTC,Wellington,2141457,johnnewm,JohnNewman,2024-02-25 00:40:44 UTC,2024-02-25 01:55:23 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/200340290,https://inaturalist-open-data.s3.amazonaws.com/photos/353442203/medium.jpeg,,"",,2,0,false,,"Auckland CBD, Auckland 1010, New Zealand",-36.8497400255,174.7710555705,8,,,,8,,open,false,,,Sacred Kingfisher,Todiramphus sanctus,白眉翡翠,Aves,2464
200340513,ab388513-da9b-4f33-a81b-1b81251ea706,2024/01/15 2:12 PM,2024-01-15,2024-01-15 01:12:00 UTC,Wellington,2141457,johnnewm,JohnNewman,2024-02-25 00:42:52 UTC,2024-05-06 10:52:24 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/200340513,https://inaturalist-open-data.s3.amazonaws.com/photos/353442610/medium.jpeg,,"",,2,0,false,,"Auckland CBD, Auckland 1010, New Zealand",-36.8497365547,174.7710532705,15,,,,15,,open,false,,,New Zealand Tūī,Prosthemadera novaeseelandiae novaeseelandiae,Tūī (Mainland Tūī),Aves,413522
200374900,7ef78272-8d16-4411-8d12-3dc82c0276cc,2024-02-25 13:48:37+13:00,2024-02-25,2024-02-25 00:48:37 UTC,Wellington,2036792,matthewes,Matthew Syvenky,2024-02-25 09:20:49 UTC,2024-02-25 21:53:49 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/200374900,https://inaturalist-open-data.s3.amazonaws.com/photos/353513596/medium.jpg,,"","",2,0,false,3,"North Island, Auckland, Auckland, NZ",-36.8533166667,174.76918,4,,,,4,,open,false,,,House Sparrow,Passer domesticus,家麻雀,Aves,13858
203052529,c6e5ee8c-01c9-41d8-aa37-82665889c9bf,2024-03-19 14:40:54,2024-03-19,2024-03-19 01:40:54 UTC,Wellington,5644245,littlecrowinahat,"",2024-03-19 01:48:31 UTC,2024-04-15 07:33:40 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/203052529,https://inaturalist-open-data.s3.amazonaws.com/photos/358701645/medium.jpeg,,"",,2,0,false,2,"Auckland CBD, Auckland 1010, New Zealand",-36.849965731,174.7715609148,6,,,,6,,open,false,,,North Island Fantail,Rhipidura fuliginosa placabilis,,Aves,413543
203052999,b2b9b6e9-798e-4722-8bce-5db236f3a329,2024-03-19 14:50:35,2024-03-19,2024-03-19 01:50:35 UTC,Wellington,5644245,littlecrowinahat,"",2024-03-19 01:54:29 UTC,2024-06-18 08:22:34 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/203052999,https://inaturalist-open-data.s3.amazonaws.com/photos/358702852/medium.jpeg,,"",Nest in bamboo,2,0,false,2,"Auckland CBD, Auckland 1010, New Zealand",-36.849988804,174.771374166,4,,,,4,,open,false,gps,gps,Silvereye,Zosterops lateralis lateralis,Silvereye,Aves,413547
203335936,ab5934a8-b0ad-4726-bdd6-9378eedbda43,2024-03-20 17:30:50+13:00,2024-03-20,2024-03-20 04:30:50 UTC,Wellington,2036792,matthewes,Matthew Syvenky,2024-03-21 10:27:37 UTC,2024-03-22 01:05:20 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/203335936,https://inaturalist-open-data.s3.amazonaws.com/photos/359244112/medium.jpg,,"","",2,0,false,3,"University of Auckland - City Campus, Auckland, Auckland, NZ",-36.8503416667,174.7711633333,9,,,,9,,open,false,,,European house sparrow,Passer domesticus domesticus,家麻雀指名亚种,Aves,544795
208581846,55a8952c-3649-4e82-a6b0-bf2142b058ba,2024-04-22 09:44:07,2024-04-22,2024-04-21 21:44:07 UTC,Wellington,5644245,littlecrowinahat,"",2024-04-21 21:45:21 UTC,2025-05-21 06:07:33 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/208581846,https://inaturalist-open-data.s3.amazonaws.com/photos/369062402/medium.jpeg,,"",There were 2. They moved before a better picture could be taken.,4,0,false,2,"Auckland CBD, Auckland 1010, New Zealand",-36.8504357751,174.7694982961,12,,,,12,,open,false,,,Kererū,Hemiphaga novaeseelandiae novaeseelandiae,Kererū,Aves,413481
208814640,8d933445-3ae9-4c8d-a318-9663eb457a9d,2024-04-23 12:37:24,2024-04-23,2024-04-23 00:37:24 UTC,Wellington,5644245,littlecrowinahat,"",2024-04-23 00:39:16 UTC,2024-04-23 06:58:09 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/208814640,https://inaturalist-open-data.s3.amazonaws.com/photos/369488628/medium.jpeg,,"",Seems to be a little overheated,2,0,false,2,"Auckland CBD, Auckland 1010, New Zealand",-36.8495745619,174.769635424,8,,,,8,,open,false,gps,gps,Western European Blackbird,Turdus merula merula,,Aves,341569
208815076,54a89050-e09b-44a2-95e1-8223716a1c10,2024-04-23 12:41:00,2024-04-23,2024-04-23 00:41:00 UTC,Wellington,5644245,littlecrowinahat,"",2024-04-23 00:42:29 UTC,2024-08-03 01:47:58 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/208815076,,https://static.inaturalist.org/sounds/979226.m4a?1713832952,"",,1,0,false,2,"Auckland CBD, Auckland 1010, New Zealand",-36.8493599278,174.7698342428,8,,,,8,,open,false,gps,gps,Common Myna,Acridotheres tristis,家八哥,Aves,204454
209193594,5e3db6e5-929d-4480-a69f-ccca00269eb8,2024-04-25 14:44:01,2024-04-25,2024-04-25 02:44:01 UTC,Wellington,5160188,flofang,,2024-04-25 02:44:38 UTC,2024-04-25 23:57:32 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/209193594,https://inaturalist-open-data.s3.amazonaws.com/photos/370193727/medium.jpeg,,"",,2,0,false,2,"University of Auckland, Auckland CBD, Auckland 1010, New Zealand",-36.8524678802,174.7705667551,8,,,,8,,open,false,,,European house sparrow,Passer domesticus domesticus,家麻雀指名亚种,Aves,544795
211136366,9347999b-b74a-4b66-8ca8-8190f9226b75,2024-04-29 09:43:13,2024-04-29,2024-04-28 21:43:13 UTC,Wellington,5644245,littlecrowinahat,"",2024-04-28 21:43:56 UTC,2024-04-28 21:49:39 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/211136366,https://inaturalist-open-data.s3.amazonaws.com/photos/373328326/medium.jpeg,,"",,1,0,false,2,"Auckland CBD, Auckland 1010, New Zealand",-36.8496622934,174.7713399678,8,,,,8,,open,false,gps,gps,Australian Magpie,Gymnorhina tibicen,澳洲钟鹊,Aves,8575
211365058,70b418a8-ed86-4277-a42c-e017fd651ce2,2024-04-29 16:40:53,2024-04-29,2024-04-29 04:40:53 UTC,Wellington,5644245,littlecrowinahat,"",2024-04-29 04:49:49 UTC,2024-04-29 08:13:42 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/211365058,https://inaturalist-open-data.s3.amazonaws.com/photos/373759015/medium.jpeg,,"",Was on the ground where a large moth was fluttering around. Then remained mostly on the branch. Fluttering away then back to branch.,2,0,false,2,"Auckland, NZ",-36.8503043133,174.7709024325,11,,,,11,,open,false,,,Fantail,Rhipidura fuliginosa,Fantail,Aves,244276
217412023,a17ea229-9933-43e6-a38e-46901e6e507e,2024-05-22 11:07:23,2024-05-22,2024-05-21 23:07:23 UTC,Wellington,8176988,jw_nz,"",2024-05-22 02:15:36 UTC,2025-05-20 06:03:10 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/217412023,https://inaturalist-open-data.s3.amazonaws.com/photos/384618644/medium.jpeg,,"","Resting in Northern rata (Metrosideros robusta), then feeding on kohekohe (Dysoxylum spectabile) fruit",3,0,false,2,"Auckland CBD, Auckland 1010, New Zealand",-36.8504218241,174.7696602345,16,,,,16,,open,false,gps,gps,Kererū,Hemiphaga novaeseelandiae novaeseelandiae,Kererū,Aves,413481
218551715,32020694-5ff7-4b6b-8ba4-6dadeb29c400,2024-05-22 13:50:54+12:00,2024-05-22,2024-05-22 01:50:54 UTC,Wellington,3083404,rswartman,,2024-05-27 02:50:46 UTC,2024-07-02 00:31:26 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/218551715,https://inaturalist-open-data.s3.amazonaws.com/photos/386748594/medium.jpg,,"","",3,0,false,3,"University of Auckland - City Campus, Auckland, Auckland, NZ",-36.84977,174.7707666667,20,,,,20,,open,false,,,Australian Magpie,Gymnorhina tibicen,澳洲钟鹊,Aves,8575
219249614,d0be26bb-6d00-4840-bf68-e563e4cb9ac5,2024-05-30 14:45:48,2024-05-30,2024-05-30 02:45:48 UTC,Wellington,8176988,jw_nz,"",2024-05-30 03:01:04 UTC,2024-05-31 03:08:17 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/219249614,https://inaturalist-open-data.s3.amazonaws.com/photos/388057186/medium.jpeg,,"",Feeding on titoki (Alectryon excelsus) fruit that had fallen on the road,3,0,false,2,"Auckland CBD, Auckland 1010, New Zealand",-36.850462604,174.7702345625,10,,,,10,,open,false,gps,gps,Silvereye,Zosterops lateralis lateralis,Silvereye,Aves,413547
225031894,7d4fc2c7-b912-47c6-a514-8bcd0f07811e,2024-06-05 11:42:48+12:00,2024-06-05,2024-06-04 23:42:48 UTC,Wellington,330521,jsimons,"",2024-06-25 03:57:21 UTC,2024-06-26 03:57:31 UTC,research,CC0,https://www.inaturalist.org/observations/225031894,https://inaturalist-open-data.s3.amazonaws.com/photos/398923222/medium.jpg,,"","",3,0,false,3,"University of Auckland - City Campus, Auckland, Auckland, NZ",-36.85112,174.768875,35,,,,35,,open,false,,,European house sparrow,Passer domesticus domesticus,家麻雀指名亚种,Aves,544795
228055010,2ab1d0b3-e4ac-4e97-9d63-56c48092831c,2024-07-08 15:18:52+12:00,2024-07-08,2024-07-08 03:18:52 UTC,Wellington,6765744,malva_l,,2024-07-08 17:00:18 UTC,2024-07-11 21:28:49 UTC,research,CC-BY-NC,https://www.inaturalist.org/observations/228055010,https://inaturalist-open-data.s3.amazonaws.com/photos/404647307/medium.jpg,,"","",4,0,false,3,"North Island / Te Ika-a-Māui, Auckland, Auckland, NZ",-36.8522416667,174.7703866667,9,,,,9,,open,false,,,Platycercus eximius,Platycercus eximius,东澳玫瑰鹦鹉,Aves,18920
